package,URI,label,isAssertable,isConstructed,isVisible,comment,icon,constructionState
domain#000000,domain#000000,BaseStation,FALSE,FALSE,TRUE,12345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678,,FALSE
package#5G,domain#BaseStation,BaseStation,FALSE,TRUE,TRUE,A type of wireless network router that provides a cellular access network in a local region of space.,,FALSE
package#5G,domain#CellularNetwork,CellularNetwork,FALSE,FALSE,FALSE,Represents a mobile phone network capable of supporting communication from mobile hosts.,,FALSE
package#5G,domain#PrivateCellularNetwork,PrivateCellularNetwork,TRUE,FALSE,TRUE,"Abstract representation of a cellular network, to which mobile 4G or 5G devices may connect. A private cellular network can be restricted to devices whose users have a specific system role.",phone_network.svg,FALSE
package#5G,domain#PublicCellularNetwork,PublicCellularNetwork,TRUE,FALSE,TRUE,"Abstract representation of a cellular network, to which mobile 4G or 5G devices may connect. A public cellular network is open to anyone as a subscriber.",phone_network.svg,FALSE
package#5G,domain#RAN,RAN,FALSE,TRUE,TRUE,A type of radio network used in cellular networks.,,FALSE
package#AccessContext,domain#AccessContext,AccessContext,FALSE,FALSE,FALSE,Represents the right or ability to access a host or process when in a specific location or connected to a specific network.,,FALSE
package#Application,domain#ApplicationProcess,ApplicationProcess,TRUE,FALSE,TRUE,A process with significant complexity unable to run on a specialised device.,process.svg,FALSE
package#Application,domain#CmdLineProcess,CmdLineProcess,TRUE,FALSE,TRUE,A program that can be launched from a command line and used interactively by a possibly remote user via keyboard and screen only.,remoteterminal.svg,FALSE
package#Application,domain#ConsoleProcess,ConsoleProcess,FALSE,FALSE,TRUE,"A process that can be launched from a shell command line and provides a functional user interface via keyboard and screen only, e.g. a remote terminal client or a text editor.",,FALSE
package#Application,domain#Data,Data,TRUE,TRUE,TRUE,"Represents a data item that can be stored or transmitted by a Host, or processed by a Process.",data.svg,FALSE
package#Application,domain#DataPalette,Data,FALSE,FALSE,FALSE,"An overlay parent class descended from Palette Type, to be used to control the grouping of assertable assets in the SSM GUI Asset Palette.",,FALSE
package#Application,domain#DataService,DataService,TRUE,TRUE,TRUE,"A process that provides remote access to data stored on a local disk (just block or file access, no data queries).",ds.svg,FALSE
package#Application,domain#DB,DB,TRUE,FALSE,TRUE,A process that allows data to be stored and accessed using a well known query language.,db.svg,FALSE
package#Application,domain#DesktopService,DesktopService,TRUE,TRUE,TRUE,"Supports remote access to graphical desktop functionality on its host. If the service controls the host, it has root privileges, enabling remote system admin. If the service controls other processes running on the host, it has the privileges assigned to those processes, and users can interact via a remote desktop client with those processes and any data used by them. This is distinct from a simple login service which also provides access to the shell, but users can only interact with command line processes. A desktop service may be configured as a restricted workspace by enabling security controls such that it does not allow the user unrestricted access to the shell, but only to processes that are specified as being available to the desktop service.",desktop-service.svg,FALSE
package#Application,domain#Editor,Editor,TRUE,FALSE,TRUE,"A program that can be used interactively by a possibly remote user via a GUI to view and alter stored data. Use a TextEditor asset for such a program that can be used with a simple text-based interface, i.e. without a GUI.",editor.svg,FALSE
package#Application,domain#EmailMX,EmailMX,TRUE,FALSE,TRUE,"Represents an ESMTP Mail Exchange (MX) process, which listens for and responds to requests sent using ESMTP.",email-mx.svg,FALSE
package#Application,domain#InteractiveProcess,InteractiveProcess,FALSE,FALSE,FALSE,A process with a user interface specialised to support user interactions with data.,,FALSE
package#Application,domain#RemoteDesktop,RemoteDesktop,TRUE,TRUE,TRUE,Provides a means to interact with processes running on a remote host via a desktop service running on that host.,remotedesktop.svg,FALSE
package#Application,domain#SensitiveData,SensitiveData,TRUE,FALSE,TRUE,A type of data whose compromise has a higher impact than other types of data.,sensitivedata.svg,FALSE
package#Application,domain#SpamData,SpamData,FALSE,TRUE,TRUE,"Represents data whose original source is outside the model, delivered via unsolicited email.",,FALSE
package#Application,domain#TextEditor,TextEditor,TRUE,FALSE,TRUE,A program that can be launched from a command line and used interactively by a possibly remote user via keyboard and screen only to view and alter stored data displayed in textual form.,editor.svg,FALSE
package#Application,domain#TypeOverlayData,TypeOverlayData,FALSE,FALSE,FALSE,A base class for data type classification overlay parent classes.,,FALSE
package#Application,domain#WebApp,WebApp,TRUE,FALSE,TRUE,"An interactive HTTP client process, which uses HTTP including REST, associated with a specific web application service. If your process is a general purpose interactive web client (a browser), use a WebBrowser asset instead.",www-app.svg,FALSE
package#Application,domain#WebBrowser,WebBrowser,TRUE,FALSE,TRUE,"An WebBrowser represents an interactive HTTP browser process, used by a human to access online applications and to navigate the Web, and supporting active rendering of a user interface specified by HTML or embedded scripting languages.",www-small.svg,FALSE
package#Application,domain#WebClient,WebClient,TRUE,FALSE,TRUE,"An WebClient represents a general HTTP client process, which uses HTTP including REST, associated with a specific web application service. It includes interactive clients (e.g. browsers and apps) and non-interactive services. If your process is a general purpose interactive web client supporting access to arbitrary services using dynamic HTML and scripting (a browser), or an app for accessing one or more predefined services, use the relevant specialised subclass.",www-smaller.svg,FALSE
package#CloudManagement,domain#APIServer,CloudAPI,TRUE,TRUE,TRUE,"A proxy for running commands on a Container within a K8S or Docker platform or equivalent. Behaves like a login service on a bastion server, providing shell access via a front-end system (the K8s Master Node) to login services on the Containers. It is not itself a login service, as it does not provide shell access on its own host. The default trustworthiness levels are set on the assumption that this asset will be subject to penetration testing by the data centre operator before it is used.",apiserver.svg,FALSE
package#CloudManagement,domain#ClusterIP,ClusterIP,TRUE,TRUE,TRUE,A subnet implemented by K8S using iptables rules to provide connectivity to Pods and Services using networks connecting their hosts.,overlay.svg,FALSE
package#CloudManagement,domain#Container,Container,TRUE,TRUE,TRUE,"A simple virtual host containing software needed to support a packaged process, suitable for deployment via Docker or Kubernetes.",fullhexagon_teal.svg,FALSE
package#CloudManagement,domain#Ingress,IngressProxy,TRUE,TRUE,TRUE,A proxy for accessing services running in a Container under a K8S or equivalent platform. The default trustworthiness levels are set on the assumption that this asset will be subject to penetration testing by the data centre operator before it is used.,ingress.svg,FALSE
package#CloudManagement,domain#Master,CloudMaster,TRUE,TRUE,TRUE,"A VM that forms part of a virtual cluster managed by a framework such as Kubernetes, but is used to host control plane functions of the management framework.",master.svg,FALSE
package#CloudManagement,domain#Pod,Pod,TRUE,TRUE,TRUE,A virtual host containing support for sharing a virtual network and storage services with one or more Containers.,emptyhexagon_teal.svg,FALSE
package#CloudManagement,domain#Worker,CloudWorker,TRUE,TRUE,TRUE,"A CloudWorker represents a virtual cluster of worker nodes, which is allocated and managed via a framework such as Kubernetes.",worker.svg,FALSE
package#Core,domain#DebugMarker,DebugMarker,FALSE,FALSE,FALSE,Used to detect firing of construction patterns that produce no other assets.,,FALSE
